rank,author,text,likes,replies,time
1,Asaoka_,首发够便宜了，我才花了2700[doge],2,0,2026-03-24 04:06
2,无限衍义,我是真想阿里能开放SDK……大家都能跟锯自己的需求去做工具,1,1,2026-03-23 12:06
3,Gueed,其实挺心动的但是老花眼没办法配镜片[笑哭],0,1,2026-03-24 14:44
4,老男人小工坊,各种AI眼镜讨论爱好者的QQ群，921465787，正经群，不是什么广告引流，up主别踢我，也欢迎up主和各位朋友加入，大家聊天聊地聊眼镜,0,0,2026-03-25 07:37
5,C绿L茶H,其实这几年我是有点想买的[笑哭]成功劝退我。因为也不是很急的东西，还是等多几年看看。,0,1,2026-03-24 14:18
6,LWCPD,我想问能听懂粤语吗 主要是开会录音（粤语）能不能整理文字,0,5,2026-03-24 10:48
7,橙子C了,真心太划算了~赞[蹲蹲],0,0,2026-03-25 01:43
8,天南大佬至阳真人0413,我就想问问能股票盯盘吗,0,1,2026-03-24 03:45
9,feiwake,请问插拔电池会不会越来越松啊？,0,1,2026-03-24 00:21
10,mini-Nity,当时租赁试了2天夸克S1眼睛，它最惊艳的是听音乐，音质还可以而且其他人听不到声音，我觉得它依据这个技术单独出一个耳机真的会火。其他的就是第一视角拍摄，对画质没什么要求的可以入手。其他的没什么了，就试了差不多3个小时就放回盒子里再没拿出来，使用场景太少了。,0,2,2026-03-24 08:53
